Timestamp,Machine_ID,Temperature,Pressure,Status_Label
2026-03-24 20:43:42.408101,Machine_A,29.88,1.19,1
2026-03-24 20:43:43.409136,Machine_A,28.71,1.25,1
2026-03-24 20:43:44.416457,Machine_A,28.09,1.37,1
2026-03-24 20:43:45.419285,Machine_A,23.33,1.32,0
2026-03-24 20:43:46.420564,Machine_A,25.62,1.43,1
2026-03-24 20:43:47.432734,Machine_A,25.49,1.42,1
2026-03-24 20:43:48.436385,Machine_A,28.37,1.48,1
2026-03-24 20:43:49.438692,Machine_A,21.85,1.3,0
2026-03-24 20:43:50.440365,Machine_A,25.45,1.11,0
2026-03-24 20:43:51.451237,Machine_A,20.44,1.41,1
2026-03-24 20:43:52.459500,Machine_A,27.65,1.44,1
2026-03-24 20:43:53.463337,Machine_A,26.62,1.44,1
2026-03-24 20:43:54.477489,Machine_A,23.94,1.48,1
2026-03-24 20:43:55.479707,Machine_A,26.72,1.23,0
2026-03-24 20:43:56.480246,Machine_A,27.82,1.23,0
2026-03-24 20:43:57.482378,Machine_A,26.55,1.38,0
2026-03-24 20:43:58.497967,Machine_A,26.73,1.32,0
2026-03-24 20:43:59.508783,Machine_A,29.23,1.23,1
2026-03-24 20:44:00.509898,Machine_A,29.26,1.17,1
2026-03-24 20:44:01.529945,Machine_A,27.13,1.3,0
